client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,num_properties,total_investment,avg_sale_price,avg_floor_area,max_sale_price,unit_categories,age,is_investor,loan_applied_flag,price_per_sqft
C0051,Individual,Matilda,Madden,1941-03-03,F,Usa,Colorado,Home,3,No,Agency,4.0,1270440.42,317610.105,1039.56,564388.0,Apartment,82.8309377138946,0,0,305.5235917118781
C0052,Individual,Myla,Ewing,1967-02-03,F,Usa,Oregon,Investment,2,No,Client,4.0,1474211.53,368552.8825,1187.925,555271.92,Apartment,56.90896646132786,1,0,310.24928551886694
C0053,Individual,Miguel,Walter,1954-01-07,M,Usa,Arizona,Home,4,No,Agency,4.0,1120539.44,280134.86,929.245,368589.72,Apartment,69.98220396988364,0,0,301.46501729899
C0054,Company,Bridger CAL,Co,,M,Usa,Nevada,Investment,5,No,Website,6.0,2109277.6,351546.26666666666,1115.6333333333334,435374.92,"Apartment,Office",53.36755646817248,1,0,315.1091457766888
C0055,Individual,Mara,Franco,1973-06-07,F,Usa,California,Home,5,Yes,Agency,4.0,1178979.21,294744.8025,989.8299999999999,416304.72,Apartment,50.56810403832991,0,1,297.773155491347
C0056,Individual,Erik,Mora,1964-12-07,M,Usa,Oregon,Investment,5,No,Agency,4.0,1579301.3599999999,394825.33999999997,1355.5975,559835.83,"Apartment,Office",59.06639288158795,1,0,291.2555828702841
C0057,Individual,Henry,Kennedy,1933-06-08,M,Usa,California,Home,4,Yes,Agency,5.0,2020519.52,404103.904,1344.1439999999998,589905.02,"Apartment,Office",90.56536618754278,0,1,300.6403361544597
C0058,Company,Kenyon,Co,1969-05-03,F,Usa,California,Investment,1,Yes,Website,5.0,1441406.17,288281.234,919.8399999999999,494246.62,"Apartment,Office",54.66392881587954,1,1,313.40367237780487
C0059,Individual,Oswaldo,Palmer,,M,Usa,California,Home,2,No,Website,4.0,1278854.25,319713.5625,1102.44,488077.62,"Apartment,Office",53.36755646817248,0,0,290.0054084576031
C0060,Individual,Kassidy,Vega,1972-05-07,F,Usa,California,Home,5,No,Website,4.0,1355662.25,338915.5625,1119.4675,485561.11,Apartment,51.65229295003422,0,0,302.74712084093557
C0061,Individual,Morgan,Glass,1967-05-12,M,Usa,Utah,Home,5,No,Agency,4.0,1306907.58,326726.895,1101.62,402081.8,Apartment,56.64065708418891,0,0,296.5876572683866
C0062,Individual,Tyler,Carr,,M,Usa,California,Home,5,Yes,Client,5.0,1489333.49,297866.698,1059.8319999999999,443358.25,Apartment,53.36755646817248,0,1,281.05086277825166
C0063,Individual,Yesenia,Marquez,,F,Usa,Arizona,Home,4,No,Website,5.0,1625480.88,325096.176,1112.538,538375.93,Apartment,53.36755646817248,0,0,292.2113006477082
C0064,Individual,Gordon,Brown,1974-02-10,M,Uk,Northern Ireland,Investment,4,No,Agency,4.0,1448881.28,362220.32,1095.85,574929.03,Apartment,49.889117043121146,1,0,330.5382305972533
C0065,Individual,Rodrigo,Ramirez,,M,Usa,California,Home,1,No,Agency,4.0,1557125.73,389281.4325,1261.5275,539032.17,"Apartment,Office",53.36755646817248,0,0,308.5794265285537
C0066,Individual,Melanie,Holland,,F,Usa,California,Investment,3,No,Client,4.0,1107164.17,276791.0425,932.7550000000001,366314.0,"Apartment,Office",53.36755646817248,1,0,296.7457076081071
C0067,Individual,Enrique,Cardenas,1977-06-10,M,Usa,California,Home,2,No,Website,5.0,1431941.84,286388.368,851.818,468196.39,"Apartment,Office",46.559890485968516,0,0,336.2084013251657
C0068,Individual,Helen,Williamson,,F,Usa,Colorado,Home,5,Yes,Agency,4.0,1572779.33,393194.8325,1450.2925,459558.39,"Apartment,Office",53.36755646817248,0,1,271.1141597298476
C0069,Individual,Isis,Rios,1970-04-01,M,Usa,California,Investment,4,No,Website,5.0,1439142.47,287828.494,957.588,479080.93,Apartment,53.752224503764545,1,0,300.5765464897221
C0070,Individual,Kayley,Nielsen,,F,Usa,Arizona,Home,4,Yes,Website,5.0,1521570.62,304314.124,1039.274,448702.07,"Apartment,Office",53.36755646817248,0,1,292.81414141025374
C0071,Individual,Donavan,Flowers,,M,Usa,California,Home,1,Yes,Client,5.0,1150384.09,230076.81800000003,833.3799999999999,415775.9,Apartment,53.36755646817248,0,1,276.0767213036071
C0072,Individual,Augustus,Hinton,1953-02-03,M,Usa,Nevada,Investment,2,No,Website,6.0,2246488.58,374414.76333333337,1129.4916666666666,674634.08,"Apartment,Office",70.90759753593429,1,0,331.4896199617823
C0073,Individual,Alejandra,Greer,1965-01-11,F,Denmark,Capital Region,Investment,1,No,Agency,4.0,1413902.33,353475.5825,1194.0325,527107.1,Apartment,58.97056810403833,1,0,296.03514351577536
C0074,Individual,Violet,Nixon,1959-01-01,F,Usa,Oregon,Investment,5,No,Client,5.0,1709458.65,341891.73,1138.044,573381.83,"Apartment,Office",64.99931553730322,1,0,300.4204846209812
C0075,Individual,Jaelyn,Berger,1970-05-05,F,Usa,California,Home,3,No,Website,4.0,1269395.74,317348.935,1048.3425,590971.72,"Apartment,Office",53.659137577002056,0,0,302.7149381046748
C0076,Individual,Tristian,Fuller,,M,Usa,California,Home,5,No,Agency,6.0,1905852.0899999999,317642.01499999996,1067.28,534630.42,Apartment,53.36755646817248,0,0,297.61825856382575
C0077,Individual,Christian,Costa,,M,Usa,California,Home,5,No,Website,5.0,1880012.18,376002.436,1191.826,590130.14,"Apartment,Office",53.36755646817248,0,0,315.484337478793
C0078,Individual,Nora,Lynch,,F,Usa,California,Home,5,No,Website,4.0,1685882.3900000001,421470.59750000003,1415.63,485944.71,Apartment,53.36755646817248,0,0,297.72652282022847
C0079,Individual,Dangelo,Shea,,M,Belgium,Brussels,Investment,4,No,Website,4.0,1456436.3,364109.075,1219.0675,579893.68,"Apartment,Office",53.36755646817248,1,0,298.678354561991
C0080,Individual,Aiyana,Christensen,,F,Usa,California,Investment,3,No,Website,5.0,1427531.56,285506.31200000003,965.024,502978.74,Apartment,53.36755646817248,1,0,295.8541051828763
C0081,Individual,Sidney,Cline,,F,Usa,California,Home,4,Yes,Website,4.0,1522144.26,380536.065,1252.745,655054.84,"Apartment,Office",53.36755646817248,0,1,303.7617911067297
C0082,Individual,Kaitlin,Owen,,F,Usa,Virginia,Investment,5,No,Client,5.0,1282267.95,256453.59,884.2239999999999,336673.91,Apartment,53.36755646817248,1,0,290.0323786732774
C0083,Individual,Issac,Edwards,,M,Usa,California,Home,5,No,Website,6.0,1513641.46,252273.57666666666,851.395,360807.72,Apartment,53.36755646817248,0,0,296.30615245176057
C0084,Individual,Zaiden,Merritt,,M,Usa,Wyoming,Home,3,No,Agency,5.0,1762231.92,352446.38399999996,1083.6119999999999,517695.89,"Apartment,Office",53.36755646817248,0,0,325.2514590093133
C0085,Individual,Iris,Larsen,,M,Usa,California,Home,4,Yes,Agency,4.0,1185505.46,296376.365,986.395,480842.09,Apartment,53.36755646817248,0,1,300.4641801712296
C0086,Individual,Grace,Stein,,F,Usa,California,Home,3,Yes,Website,5.0,1928188.6099999999,385637.72199999995,1354.634,525721.08,Apartment,53.36755646817248,0,1,284.68038008790563
C0087,Individual,Alessandra,Perry,,F,Usa,California,Home,4,No,Agency,4.0,1681153.28,420288.32,1287.6625,508371.29,"Apartment,Office",53.36755646817248,0,0,326.39633444322567
C0088,Individual,Jamal,Mueller,,M,Usa,Oregon,Investment,2,No,Website,6.0,1450519.57,241753.2616666667,786.9733333333334,308622.38,"Apartment,Office",53.36755646817248,1,0,307.19371473832234
C0089,Individual,Irvin,Ellis,,M,Usa,California,Home,3,No,Agency,4.0,1041853.81,260463.4525,854.79,302297.34,Apartment,53.36755646817248,0,0,304.71045812421767
C0090,Individual,Terry,Forbes,,M,Usa,California,Home,5,No,Client,5.0,980850.4199999999,196170.08399999997,703.798,252200.58,Apartment,53.36755646817248,0,0,278.7306641962608
C0091,Individual,Jacqueline,Grant,,F,Usa,California,Home,4,No,Website,4.0,1356644.74,339161.185,1161.6775,432448.91,Apartment,53.36755646817248,0,0,291.9581252111709
C0092,Individual,Brock,Fischer,,M,Usa,Kansas,Home,3,No,Website,8.0,2817926.96,352240.87,1218.0425,536812.04,"Apartment,Office",53.36755646817248,0,0,289.1860259391606
C0093,Individual,Curtis,Howard,1962-09-11,M,Usa,California,Home,2,No,Agency,5.0,1732558.38,346511.676,1196.466,438704.41,Apartment,61.30595482546201,0,0,289.6126392225103
C0094,Individual,Avah,Huang,,F,Usa,California,Home,5,No,Website,5.0,1062675.82,212535.16400000002,692.664,292598.12,"Apartment,Office",53.36755646817248,0,0,306.83731794925103
C0095,Individual,Frank,Meyer,,M,Usa,California,Home,3,Yes,Agency,6.0,1668973.02,278162.17,923.105,384992.37,"Apartment,Office",53.36755646817248,0,1,301.33318528228097
C0096,Individual,Darien,Dorsey,,M,Usa,California,Investment,3,Yes,Website,4.0,1363013.17,340753.2925,1113.615,452667.01,Apartment,53.36755646817248,1,1,305.98841834924997
C0097,Individual,Franklin,Mack,,M,Usa,Virginia,Home,5,Yes,Website,7.0,2189906.04,312843.72000000003,1061.722857142857,491025.48,"Apartment,Office",53.36755646817248,0,1,294.65666854142734
C0098,Individual,Elena,Petrova,,F,Russia,Saint Petersburg,Home,3,Yes,Agency,4.0,1131592.65,282898.1625,981.955,427106.32,Apartment,53.36755646817248,0,1,288.0968705286902
C0099,Individual,Jack,Hanson,1941-12-01,M,Usa,California,Investment,4,No,Website,6.0,2000308.58,333384.76333333337,1201.5883333333334,417894.67,"Apartment,Office",82.08350444900753,1,0,277.4533957137289
C0100,Individual,Emmett,Estes,1969-06-05,M,Usa,California,Home,3,No,Website,4.0,1449544.65,362386.1625,1174.44,526802.73,Apartment,54.573579739904176,0,0,308.5608140901195
C0101,Individual,Aniya,Miller,1951-03-02,F,Usa,Nevada,Home,3,No,Website,4.0,1125013.8,281253.45,874.345,392645.79,"Apartment,Office",72.83504449007529,0,0,321.6733097347157
C0102,Individual,Jack,Anderson,,M,Usa,California,Investment,5,Yes,Website,9.0,3403263.85,378140.4277777778,1222.908888888889,621956.37,"Apartment,Office",53.36755646817248,1,1,309.21390073576845
C0103,Individual,Kael,Hurley,,M,Usa,Colorado,Home,3,No,Website,5.0,1483838.77,296767.754,964.9799999999999,408331.77,Apartment,53.36755646817248,0,0,307.5377251341997
C0104,Individual,Kamden,Stewart,,M,Usa,California,Home,5,No,Website,5.0,1677155.01,335431.002,1090.3,510060.4,"Apartment,Office",53.36755646817248,0,0,307.65018985600295
C0105,Individual,Aniyah,Ali,1959-11-03,F,Usa,California,Investment,2,Yes,Website,5.0,1328084.36,265616.87200000003,850.948,338774.34,"Apartment,Office",64.1615331964408,1,1,312.14230716800563
C0106,Individual,Simon,Bennett,1953-06-09,M,Usa,Colorado,Home,4,No,Website,4.0,957679.27,239419.8175,820.9825000000001,452919.18,Apartment,70.56262833675565,0,0,291.6259694938686
C0107,Individual,Laurel,Benitez,1959-08-06,M,Usa,California,Home,4,Yes,Agency,5.0,1715058.23,343011.646,1102.66,537998.71,"Apartment,Office",64.40520191649556,0,1,311.0765294832496
C0108,Individual,Trey,Strong,,M,Usa,California,Home,4,No,Agency,6.0,1998798.72,333133.12,1104.1699999999998,583919.98,"Apartment,Office",53.36755646817248,0,0,301.70455636360344
C0109,Individual,Myah,Roman,1933-05-05,F,Usa,California,Investment,5,Yes,Agency,5.0,1995551.0899999999,399110.218,1285.854,579807.82,"Apartment,Office",90.65845311430527,1,1,310.3853299052614
C0110,Individual,Nyla,Blake,1959-06-05,F,Usa,California,Investment,5,Yes,Agency,5.0,1205555.46,241111.092,811.4019999999999,487772.33,Apartment,64.57494866529774,1,1,297.1536821452252
C0111,Individual,Kole,Shannon,,M,Usa,Arizona,Home,2,Yes,Website,4.0,1198421.22,299605.305,896.7175,476038.28,Apartment,53.36755646817248,0,1,334.1133690376289
C0112,Individual,Melany,Glover,1960-10-01,F,Usa,California,Investment,1,Yes,Agency,5.0,1775142.2,355028.44,1115.986,619787.84,Apartment,63.2498288843258,1,1,318.12983316995013
C0113,Individual,Arthur,Bray,,M,Usa,Utah,Investment,4,No,Agency,4.0,1414433.46,353608.365,1186.715,535865.96,Apartment,53.36755646817248,1,0,297.97244072923996
C0114,Individual,Kamila,Collier,,F,Usa,California,Home,1,Yes,Website,4.0,1124004.05,281001.0125,932.9449999999999,382143.98,Apartment,53.36755646817248,0,1,301.1978332056016
C0115,Individual,Amanda,Simon,1978-12-03,F,Usa,California,Home,5,No,Agency,5.0,1757354.59,351470.918,1143.692,460001.26,"Apartment,Office",45.07871321013005,0,0,307.31256142387986
C0116,Individual,Erika,Steward,1955-08-07,F,Usa,California,Investment,4,No,Website,8.0,2484590.08,310573.76,1039.8925,629574.18,"Apartment,Office",68.40246406570841,1,0,298.6594864373
C0117,Individual,Jakobe,Bailey,1964-10-06,M,Uk,Scotland,Investment,4,No,Agency,8.0,2884556.25,360569.53125,1135.78625,602366.78,"Apartment,Office",59.23613963039014,1,0,317.46249019126617
C0118,Individual,Sonia,Choi,1948-11-09,F,Usa,Oregon,Investment,5,No,Agency,4.0,1218377.19,304594.2975,1009.1225,461101.0,"Apartment,Office",75.14305270362765,1,0,301.8407552105914
C0119,Individual,Erika,Gallagher,,F,Usa,California,Home,1,Yes,Website,4.0,1603043.92,400760.98,1399.315,527627.25,Apartment,53.36755646817248,0,1,286.397973294076
C0120,Individual,Madeline,Michael,,F,Usa,California,Home,4,Yes,Website,5.0,1753587.39,350717.478,1243.96,577922.22,Apartment,53.36755646817248,0,1,281.9362985948101
C0121,Individual,Bennett,Chen,,M,Usa,Nevada,Home,2,No,Website,5.0,1169150.31,233830.062,806.688,418772.73,Apartment,53.36755646817248,0,0,289.8643118529097
C0122,Individual,Belinda,Hogan,,F,Usa,California,Home,1,Yes,Agency,4.0,1412560.68,353140.17,1085.975,550180.2,Apartment,53.36755646817248,0,1,325.18259628444486
C0123,Individual,Johanna,Fisher,,F,Usa,California,Home,4,Yes,Website,5.0,1821348.69,364269.738,1230.6599999999999,502456.39,Apartment,53.36755646817248,0,1,295.99543171956515
C0124,Individual,Jaylen,Turner,,F,Usa,California,Home,4,No,Agency,5.0,1613985.08,322797.016,1184.6299999999999,367468.14,"Apartment,Office",53.36755646817248,0,0,272.48762567215084
C0125,Individual,Michael,Juarez,,M,Usa,Colorado,Home,4,Yes,Agency,4.0,1341108.25,335277.0625,1148.5475,503351.9,"Apartment,Office",53.36755646817248,0,1,291.91397177739714
C0126,Individual,Adriana,Shaffer,1972-07-11,F,Usa,California,Investment,2,No,Agency,5.0,1319929.46,263985.892,850.052,498779.18,"Apartment,Office",51.474332648870636,1,0,310.5526391326648
C0127,Individual,Julio,Leonard,,M,Usa,Nevada,Home,2,Yes,Website,4.0,967474.23,241868.5575,765.085,355073.4,Apartment,53.36755646817248,0,1,316.132923139259
C0128,Company,Abdiel,Co,,M,Usa,Nevada,Investment,5,Yes,Website,5.0,1639392.9500000002,327878.59,1054.034,535798.14,"Apartment,Office",53.36755646817248,1,1,311.0702216437041
C0129,Individual,Warren,Pugh,,M,Usa,Arizona,Investment,5,No,Website,4.0,1748372.75,437093.1875,1296.9850000000001,584468.16,"Apartment,Office",53.36755646817248,1,0,337.00712614255366
C0130,Individual,Luis,Crane,,M,Usa,Nevada,Home,3,Yes,Website,4.0,1488042.88,372010.72,1215.035,509032.38,Apartment,53.36755646817248,0,1,306.17284275761597
C0131,Individual,Mohammad,Irwin,1971-12-02,M,Usa,California,Home,1,No,Website,5.0,1428058.5499999998,285611.70999999996,928.7940000000001,538931.69,Apartment,52.082135523613964,0,0,307.50813420413994
C0132,Individual,Davion,Stout,,M,Usa,Nevada,Home,1,Yes,Agency,4.0,1203775.04,300943.76,1025.1775,403463.16,Apartment,53.36755646817248,0,1,293.55283353370515
C0133,Individual,Logan,Simmons,,M,Usa,California,Investment,4,No,Agency,4.0,1449799.93,362449.9825,1177.4025000000001,457718.07,Apartment,53.36755646817248,1,0,307.8386384435229
C0134,Individual,Kaylin,Villarreal,,F,Russia,Novosibirsk,Investment,3,No,Website,5.0,1761669.8699999999,352333.974,1095.602,595167.57,Apartment,53.36755646817248,1,0,321.5893855615451
C0135,Individual,Ruben,Melton,1939-03-05,M,Usa,Utah,Investment,2,No,Agency,4.0,1221442.92,305360.73,1043.6100000000001,446236.57,"Apartment,Office",84.8268309377139,1,0,292.6004254462874
C0136,Individual,Gianni,Fritz,,M,Usa,California,Home,3,No,Website,5.0,1892554.72,378510.944,1244.274,550949.39,"Apartment,Office",53.36755646817248,0,0,304.20224484317765
C0137,Individual,Emilie,Morrison,,F,Usa,California,Home,3,Yes,Website,4.0,989750.45,247437.6125,855.0699999999999,328405.23,"Apartment,Office",53.36755646817248,0,1,289.37702468803724
C0138,Individual,Crystal,Wyatt,,F,Usa,Oregon,Investment,3,Yes,Website,5.0,1367824.55,273564.91000000003,914.412,362755.75,"Apartment,Office",53.36755646817248,1,1,299.17029741516956
C0139,Individual,Annabel,Robles,,F,Usa,California,Home,5,Yes,Website,5.0,1807366.3,361473.26,1136.694,448450.76,Apartment,53.36755646817248,0,1,318.00401867169177
C0140,Individual,Rachel,Cross,,F,Usa,California,Home,3,No,Website,5.0,1559561.53,311912.306,1041.7220000000002,523923.26,"Apartment,Office",53.36755646817248,0,0,299.41990857445643
C0141,Individual,Madalyn,Mercer,,F,Usa,California,Home,5,No,Website,5.0,1765019.09,353003.818,1088.806,520595.39,"Apartment,Office",53.36755646817248,0,0,324.2118595966591
C0142,Individual,Michelle,Cameron,1978-06-04,F,Usa,Nevada,Home,3,Yes,Website,5.0,1673770.19,334754.038,1149.396,479876.57,"Apartment,Office",45.57700205338809,0,1,291.24343394269687
C0143,Individual,Ezra,Lozano,,M,Usa,California,Home,1,No,Website,8.0,2389960.3,298745.0375,1008.6325,512659.6,"Apartment,Office",53.36755646817248,0,0,296.1881929245785
C0144,Individual,Ramiro,Oneill,,M,Usa,California,Home,4,No,Agency,5.0,1897739.74,379547.948,1206.354,564424.34,Apartment,53.36755646817248,0,0,314.6240224677002
